wine number,date,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,color
1,2023-11-14,6.7,0.24,0.3,10.2,0.07,44,179,0.99666,2.86,0.46,8.9,neutral,white
2,2023-10-04,6.7,0.51,0.24,2.1,0.043,14,155,0.9904,3.22,0.6,13,neutral,white
3,2023-06-20,6.9,0.18,0.38,6.5,0.039,20,110,0.9943,3.1,0.42,10.5,slightly dissatisfied,white
4,2024-06-27,7.6,0.24,0.44,3.8,0.037,49,146,0.9911,3.06,0.37,11.6,neutral,white
5,2024-04-14,7,0.46,0.2,16.7,0.046,50,184,0.99898,3.08,0.56,9.4,slightly dissatisfied,white
6,2023-12-07,6.4,0.69,0.09,7.6,0.044,34,144,0.9948,3.26,0.38,10.1,neutral,white
7,2023-01-05,5.7,0.26,0.27,4.1,0.201,73.5,189.5,0.9942,3.27,0.38,9.4,neutral,white
8,2023-03-31,9.2,0.63,0.21,2.7,0.097,29,65,0.9988,3.28,0.58,9.6,slightly dissatisfied,red
9,2022-08-06,7.1,0.75,0.01,2.2,0.059,11,18,0.99242,3.39,0.4,12.8,neutral,red
10,2023-03-28,8.1,0.28,0.4,6.9,0.05,30,97,0.9951,3.26,0.44,10.1,neutral,white
11,2024-11-17,6.7,0.23,0.33,1.8,0.036,23,96,0.9925,3.32,0.4,10.8,neutral,white
12,2024-05-28,6.5,0.51,0.15,3,0.064,12,27,0.9929,3.33,0.59,12.8,neutral,red
13,2024-02-26,7,0.35,0.24,1.9,0.04,21,144,0.9923,3.35,0.38,11,slightly dissatisfied,white
14,2023-03-31,7,0.32,0.29,4.9,0.036,41,150,0.99168,3.38,0.43,12.2,neutral,white
15,2024-12-03,7,0.28,0.26,1.7,0.042,34,130,0.9925,3.43,0.5,10.7,moderately satisfied,white
16,2024-11-07,7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,neutral,white
17,2024-07-12,8.1,0.26,0.33,11.1,0.052,52.5,158,0.9976,3.03,0.49,10.2,slightly satisfied,white
18,2022-02-28,5.7,0.27,0.16,9,0.053,32,111,0.99474,3.36,0.37,10.4,neutral,white
19,2022-01-08,8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,moderately dissatisfied,red
20,2023-09-29,6,0.3,0.33,2.1,0.042,31,127,0.98964,3.32,0.42,12.5,neutral,white
21,2023-12-22,7.8,0.22,0.38,10.3,0.059,28,99,0.9967,3.12,0.47,10,neutral,white
22,2023-08-21,6,0.2,0.38,1.3,0.034,37,104,0.98865,3.11,0.52,12.7,neutral,white
23,2023-09-27,6.9,0.21,0.81,1.1,0.137,52,123,0.9932,3.03,0.39,9.2,neutral,white
24,2022-08-27,6.8,0.26,0.34,13.9,0.034,39,134,0.9949,3.33,0.53,12,neutral,white
25,2022-02-08,6.6,0.34,0.27,6.2,0.059,23,136,0.9957,3.3,0.49,10.1,neutral,white
26,2023-01-26,6.6,0.29,0.44,9,0.053,62,178,0.99685,3.02,0.45,8.9,slightly dissatisfied,white
27,2023-03-12,7.1,0.2,0.3,0.9,0.019,4,28,0.98931,3.2,0.36,12,neutral,white
28,2023-04-04,6.8,0.23,0.29,15.4,0.073,56,173,0.9984,3.06,0.41,8.7,neutral,white
29,2024-08-08,8.2,0.915,0.27,2.1,0.088,7,23,0.9962,3.26,0.47,10,moderately dissatisfied,red
30,2023-05-14,6.1,0.34,0.46,4.7,0.029,21,94,0.991,3.29,0.62,12.3,neutral,white
31,2022-08-10,7,0.28,0.39,8.7,0.051,32,141,0.9961,3.38,0.53,10.5,neutral,white
32,2022-04-25,6.2,0.52,0.08,4.4,0.071,11,32,0.99646,3.56,0.63,11.6,neutral,red
33,2024-06-07,6.2,0.3,0.2,6.6,0.045,42,170,0.9944,3.36,0.45,10.4,neutral,white
34,2023-07-18,7,0.27,0.48,6.1,0.042,60,184,0.99566,3.2,0.5,9.4,neutral,white
35,2024-09-30,6.5,0.46,0.31,5,0.027,15,72,0.99165,3.26,0.6,11.5,slightly satisfied,white
36,2024-04-06,5,0.61,0.12,1.3,0.009,65,100,0.9874,3.26,0.37,13.5,slightly dissatisfied,white
37,2024-09-17,7.8,0.5,0.17,1.6,0.082,21,102,0.996,3.39,0.48,9.5,slightly dissatisfied,red
38,2022-02-24,6,0.24,0.32,6.3,0.03,34,129,0.9946,3.52,0.41,10.4,slightly dissatisfied,white
39,2022-08-31,6.8,0.18,0.28,9.8,0.039,29,113,0.99406,3.11,0.45,10.9,slightly satisfied,white
40,2023-08-17,6.2,0.46,0.29,2.1,0.074,32,98,0.99578,3.33,0.62,9.8,slightly dissatisfied,red
41,2023-03-04,9,0.2,0.33,3.5,0.049,10,40,0.9944,3.14,0.36,9.8,neutral,white
42,2022-04-01,7.9,0.34,0.36,1.9,0.065,5,10,0.99419,3.27,0.54,11.2,slightly satisfied,red
43,2024-02-29,6.7,0.24,0.41,9.4,0.04,49,166,0.9954,3.12,0.61,9.9,neutral,white
44,2022-09-06,8.3,0.26,0.31,2,0.029,14,141,0.99077,2.95,0.77,12.2,neutral,white
45,2023-12-09,7.2,0.62,0.01,2.3,0.065,8,46,0.99332,3.32,0.51,11.8,neutral,red
46,2023-02-18,10.6,0.34,0.49,3.2,0.078,20,78,0.9992,3.19,0.7,10,neutral,red
47,2023-04-05,7,0.685,0,1.9,0.067,40,63,0.9979,3.6,0.81,9.9,slightly dissatisfied,red
48,2022-03-15,8.3,0.56,0.22,2.4,0.082,10,86,0.9983,3.37,0.62,9.5,slightly dissatisfied,red
49,2022-09-22,5.9,0.26,0.27,18.2,0.048,52,168,0.9993,3.35,0.44,9.4,slightly dissatisfied,white
50,2023-07-03,7,0.17,0.33,4,0.034,17,127,0.9934,3.19,0.39,10.6,slightly satisfied,white
51,2024-10-27,6.9,0.38,0.38,13.1,0.112,14,94,0.99792,3.02,0.48,9.2,slightly dissatisfied,white
52,2023-04-01,7.1,0.26,0.34,14.4,0.067,35,189,0.9986,3.07,0.53,9.1,slightly satisfied,white
53,2024-09-26,8,0.16,0.36,1.5,0.033,14,122,0.9941,3.2,0.39,10.3,moderately dissatisfied,white
54,2024-05-04,6.4,0.67,0.08,2.1,0.045,19,48,0.9949,3.49,0.49,11.4,neutral,red
55,2022-01-13,9.6,0.38,0.31,2.5,0.096,16,49,0.9982,3.19,0.7,10,slightly satisfied,red
56,2022-04-14,6.8,0.61,0.04,1.5,0.057,5,10,0.99525,3.42,0.6,9.5,slightly dissatisfied,red
57,2022-11-12,5.6,0.25,0.19,2.4,0.049,42,166,0.992,3.25,0.43,10.4,neutral,white
58,2022-06-28,5.8,0.23,0.31,3.5,0.044,35,158,0.98998,3.19,0.37,12.1,slightly satisfied,white
59,2022-12-18,6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,slightly satisfied,white
60,2023-08-17,6.5,0.24,0.32,7.6,0.038,48,203,0.9958,3.45,0.54,9.7,slightly satisfied,white
61,2024-11-13,6.5,0.34,0.27,2.8,0.067,8,44,0.99384,3.21,0.56,12,neutral,red
62,2024-02-16,6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9,slightly dissatisfied,white
63,2023-04-05,6.9,0.22,0.43,6.4,0.042,34,115,0.99293,3.05,0.51,10.8,neutral,white
64,2023-05-20,5.8,0.32,0.31,2.7,0.049,25,153,0.99067,3.44,0.73,12.2,slightly satisfied,white
65,2023-07-07,5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,neutral,red
66,2023-08-01,6.3,0.36,0.28,2.5,0.035,18,73,0.98868,3.1,0.47,12.8,slightly satisfied,white
67,2024-03-24,6.4,0.18,0.48,4,0.186,64,150,0.9945,3.06,0.4,9.3,slightly dissatisfied,white
68,2023-03-31,9.3,0.2,0.33,1.7,0.05,28,178,0.9954,3.16,0.43,9,moderately dissatisfied,white
69,2024-03-18,7.3,0.815,0.09,11.4,0.044,45,204,0.99713,3.15,0.46,9,slightly dissatisfied,white
70,2024-09-26,8.2,0.34,0.49,8,0.046,55,223,0.996,3.08,0.52,10.7,neutral,white
71,2024-11-17,6.4,0.18,0.48,18,0.054,56,183,1.00038,2.98,0.61,8.5,neutral,white
72,2022-12-22,7.8,0.25,0.28,7.2,0.04,46,179,0.99541,3.14,0.6,10.1,neutral,white
73,2022-06-11,8.1,0.26,0.37,1.9,0.072,48,159,0.9949,3.37,0.7,10.9,neutral,white
74,2022-07-09,7.3,0.36,0.54,13.3,0.054,63,193,0.99864,3.06,0.49,8.6,moderately dissatisfied,white
75,2024-09-20,10.6,0.31,0.49,2.2,0.063,18,40,0.9976,3.14,0.51,9.8,neutral,red
76,2022-09-04,6.8,0.15,0.41,12.9,0.044,79.5,183,0.99742,3.24,0.78,10.2,neutral,white
77,2024-04-29,10,0.35,0.47,2,0.061,6,11,0.99585,3.23,0.52,12,neutral,red
78,2023-11-13,5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,slightly satisfied,white
79,2023-05-18,6.8,0.73,0.2,6.6,0.054,25,65,0.99324,3.12,0.28,11.1,moderately dissatisfied,white
80,2024-01-03,5.8,0.23,0.31,4.5,0.046,42,124,0.99324,3.31,0.64,10.8,neutral,white
81,2022-10-05,6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,neutral,white
82,2024-08-12,6.6,0.23,0.18,8.5,0.044,59,188,0.99558,3.16,0.49,9.5,slightly dissatisfied,white
83,2022-09-02,6.8,0.3,0.35,2.8,0.038,10,164,0.9912,3.09,0.53,12,neutral,white
84,2024-08-03,6.2,0.38,0.42,2.5,0.038,34,117,0.99132,3.36,0.59,11.6,slightly satisfied,white
85,2022-05-04,6.6,0.13,0.3,4.9,0.058,47,131,0.9946,3.51,0.45,10.3,neutral,white
86,2023-09-27,6.7,0.2,0.37,1.65,0.025,42,103,0.99022,3.11,0.45,11.4,slightly dissatisfied,white
